"com_name","com_code","nat"
"Ambérieux","69005",248.182474765054
"Ambérieux-en-Dombes","01005",307.034615192778
"Ambernac","16009",342.536833214913
"Amberre","86002",254.129314055655
"Ambert","63003",366.465567903436
"Ambès","33004",365.890285343488
"Ambeyrac","12007",438.02704542198
"Ambialet","81010",382.809008366044
"Ambiegna","2A014",471.708667529107
"Ambierle","42003",326.517107349921
"Ambiévillers","70013",492.38213060708
"Ambillou","37002",367.689417400561
"Ambilly","74008",203.833902939166
"Amblainville","60010",272.821177546239
"Amblans-et-Velotte","70014",377.338169369957
"Ambleny","02011",305.38313253012
"Ambléon","01006",462.660148482036
"Ambleteuse","62025",323.253115599484
"Ambleville","16010",331.228589570601
"Ambleville","95011",303.751281923632
"Ambloy","41001",285.91628047857
"Ambly-Fleury","08010",274.777955493741
"Ambly-sur-Meuse","55007",273.907064364207
"Amboise","37003",384.861233501695
"Ambon","56002",296.67186325076
"Ambonil","26007",255.776606596396
"Ambonnay","51007",291.081846405786
"Ambonville","52007",344.375754735188
"Ambrault","36003",368.583765409859
"Ambres","81011",288.78880013383
"Ambricourt","62026",271.624458747806
"Ambrief","02012",296.194521281342
"Ambrières","51008",291.714858150345
"Ambrières-les-Vallées","53003",280.707698079388
"Ambrines","62027",285.104665279223
"Ambronay","01007",321.385389201644
"Ambrugeat","19008",417.410370670448
"Ambrumesnil","76004",260.52875399361
"Ambrus","47008",419.006438605619
"Ambutrix","01008",283.44237746044
"Amécourt","27010",295.993586317477
"Amel-sur-l'Étang","55008",321.026832135859
"Amelécourt","57018",363.752063055438
"Amélie-les-Bains-Palalda","66003",487.496689463502
"Amendeuix-Oneix","64018",311.11847495011
"Amenoncourt","54013",341.984551724138
"Amenucourt","95012",364.01198202696
"Ames","62028",250.121350762527
"Amettes","62029",264.241196978501
"Ameugny","71007",272.228136178611
"Ameuvelle","88007",281.06162765729
"Amfreville","14009",274.363496830164
"Amfreville-la-Mi-Voie","76005",268.148742805211
"Amfreville-les-Champs","27012",315.774591917833
"Amfreville-les-Champs","76006",259.960342695637
"Amfreville-Saint-Amand","27011",259.094502779493
"Amfreville-sous-les-Monts","27013",357.334295180079
"Amfreville-sur-Iton","27014",327.913836200559
"Amfroipret","59006",294.571538068472
"Amiens","80021",184.832752117287
"Amifontaine","02013",296.8924801641
"Amigny","50006",261.439883331533
"Amigny-Rouy","02014",345.1168689651
"Amillis","77002",328.610933370427
"Amilly","28006",244.353856522687
"Amilly","45004",319.995788488535
"Amirat","06002",543.486340484643
"Ammerschwihr","68005",388.398269184217
"Amné","72004",264.778311925687
"Amnéville","57019",269.549715234931
"Amoncourt","70015",368.387241952842
"Amondans","25017",414.880661040788
"Amont-et-Effreney","70016",455.369863338149
"Amorots-Succos","64019",375.181557711011
"Amou","40002",330.65162302752
"Ampilly-le-Sec","21012",395.265117043121
"Ampilly-les-Bordes","21011",303.981362572781
"Amplepuis","69006",273.973578788692
"Amplier","62030",285.156126663607
"Amponville","77003",256.159934351554
"Ampriani","2B015",491.746627464545
"Ampuis","69007",335.915583414684
"Ampus","83003",501.313517207106
"Amuré","79009",258.671875422423
"Amy","60011",297.713556276988
"Anais","16011",272.470621698497
"Anais","17007",283.5975414667
"Anan","31008",330.539146220062
"Ance Féas","64225",434.887902349302
"Anceaumeville","76007",292.198823930459
"Ancelle","05004",461.95656812904
"Ancemont","55009",380.718776371308
"Ancenis-Saint-Géréon","44003",243.827719348797
"Ancerville","55010",386.817824108608
"Ancerville","57020",273.760554793477
"Ancerviller","54014",357.779199074372
"Ancey","21013",391.640648710167
"Anchamps","08011",409.592246949031
"Anché","37004",284.36229417947
"Anché","86003",358.782630987841
"Anchenoncourt-et-Chazel","70017",410.7301191858
"Ancienville","02015",365.185261636908
"Ancier","70018",295.80491701429
"Ancinnes","72005",334.343626471403
"Ancizan","65006",493.900626256602
"Ancône","26008",298.432356389215
"Ancourt","76008",351.445615731786
"Ancourteville-sur-Héricourt","76009",267.052536640361
"Ancretiéville-Saint-Victor","76010",263.003109410237
"Ancretteville-sur-Mer","76011",278.247852450733
"Anctoville-sur-Boscq","50008",252.375136911281
"Ancy","69008",327.512887383573
"Ancy-Dornot","57021",440.482337703116
"Ancy-le-Franc","89005",363.514660822629
"Ancy-le-Libre","89006",363.298418322618
"Andainville","80022",267.320744931636
"Andance","07009",338.255915279879
"Andancette","26009",262.737040465485
"Andé","27015",302.126332166472
"Andechy","80023",260.287819856704
"Andel","22002",254.639914841457
"Andelain","02016",264.603192383086
"Andelaroche","03004",315.277237660395
"Andelarre","70019",399.278818581533
"Andelarrot","70020",387.892114720598
"Andelat","15004",288.101510482061
"Andelnans","90001",304.208899521531
"Andelot-Blancheville","52008",384.805913215085
"Andelot-en-Montagne","39009",382.095640879427
"Andelot-Morval","39010",397.903445605885
"Andelu","78013",252.183138079503
"Andernay","55011",383.378671655753
"Andernos-les-Bains","33005",305.725600600601
"Anderny","54015",292.738298048296
"Andert-et-Condon","01009",387.837930639808
"Andeville","60012",262.13325102099
"Andillac","81012",329.295761150018
"Andilly","17008",256.99708576767
"Andilly","54016",292.082569820068
"Andilly","74009",306.091862997426
"Andilly","95014",300.269439156538
"Andilly-en-Bassigny","52009",320.191222570533
"Andiran","47009",324.28851619101
"Andlau","67010",466.770414792604
"Andoins","64021",274.668755275631
"Andolsheim","68007",328.231265971407
"Andon","06003",509.568862583634
"Andonville","45005",258.601966666667
"Andornay","70021",304.54788961039
"Andouillé","53005",272.584244911182
"Andouillé-Neuville","35003",290.105035789739
"Andouque","81013",342.655172413793
"Andrein","64022",373.537592062193
"Andres","62031",276.807453416149
"Andrest","65007",247.492985842986
"Andrésy","78015",263.704515310536
"Andrezel","77004",267.246090657165
"Andrézieux-Bouthéon","42005",189.274083611027
"Andryes","89007",400.167201013013
"Anduze","30010",420.00273605297
"Anères","65009",316.984772346581
"Anet","28007",335.270454201744
"Angaïs","64023",309.808122031177
"Angé","41002",325.171063869076
"Angeac-Champagne","16012",314.19929620734
"Angeac-Charente","16013",371.036209638643
"Angecourt","08013",349.767986193507
"Angeduc","16014",302.7062115277
"Angely","89008",277.576933688954
"Angeot","90002",342.116129032258
"Angers","49007",186.790655804114
"Angerville","14012",283.147058823529
"Angerville","91016",246.797980894485
"Angerville-Bailleul","76012",276.188472975337
"Angerville-l'Orcher","76014",246.711872625879
"Angerville-la-Campagne","27017",282.854395604396
"Angerville-la-Martel","76013",261.51065000393
"Angervilliers","91017",371.832300320893
"Angeville","82003",299.081073324724
"Angevillers","57022",321.029187411501
"Angicourt","60013",332.245457469046
"Angiens","76015",264.248666016409
"Angirey","70022",374.035816618911
"Angivillers","60014",250.569119713811
"Anglade","33006",361.958312926738
"Anglards-de-Saint-Flour","15005",372.882774329856
"Anglards-de-Salers","15006",339.594954910028
"Anglars","46004",358.30476
"Anglars-Juillac","46005",364.113487904673
"Anglars-Nozac","46006",352.417526617527
"Anglars-Saint-Félix","12008",272.674858223062
"Anglefort","01010",455.698038046718
"Anglemont","88008",338.15042257361
"Angles","04007",457.411232536728
"Angles","85004",270.528933352526
"Anglès","81014",422.997269373724
"Angles-sur-l'Anglin","86004",327.504258290659
"Anglesqueville-l'Esneval","76017",247.726472516153
"Anglesqueville-la-Bras-Long","76016",259.210278276481
"Anglet","64024",226.521260645316
"Angliers","17009",268.92847135167
"Angliers","86005",322.626508094731
"Anglure","51009",265.578829723823
"Anglure-sous-Dun","71008",301.049659863946
"Angluzelles-et-Courcelles","51010",277.616402116402
"Angoisse","24008",339.328624047631
"Angomont","54017",523.024519075518
"Angos","65010",287.637048790163
"Angoulême","16015",203.657595743502
"Angoulins","17010",278.600676027041
"Angoumé","40003",373.165232445644
"Angous","64025",351.121250797703
"Angoustrine-Villeneuve-des-Escaldes","66005",527.3590889916
"Angres","62032",234.78198498749
"Angresse","40004",341.773594689898
"Angrie","49008",277.878581532608
"Anguilcourt-le-Sart","02017",263.749128919861
"Angy","60015",309.264449899576
"Anhaux","64026",430.989748399198
"Anhiers","59007",255.868202764977
"Aniane","34010",421.574297241707
"Aniche","59008",212.843815000612
"Anisy","14015",255.290378503323
"Anizy-le-Grand","02018",357.436832638065
"Anjeux","70023",390.198211692084
"Anjou","38009",302.891316178185
"Anjouin","36004",320.6102982008
"Anjoutey","90003",414.353126614987
"Anla","65012",380.374206293213
"Anlezy","58006",335.880749605715
"Anlhiac","24009",344.866206762534
"Annay","58007",343.050264709421
"Annay","62033",212.138817005545
"Annay-la-Côte","89009",394.608280951934
"Annay-sur-Serein","89010",322.222620469932
"Annebault","14016",278.805650031235
"Annecy","74010",288.424161766815
"Annelles","08014",259.768329270579
"Annemasse","74012",178.693783761993
"Annéot","89011",267.74300437023
"Annepont","17011",334.106104129264
"Annequin","62034",252.687562487503
"Annesse-et-Beaulieu","24010",359.004936201919
"Annet-sur-Marne","77005",309.993164833829
"Anneux","59010",264.451472111259
"Anneville-Ambourville","76020",311.877274321113
"Anneville-en-Saire","50013",264.892068306191
"Annéville-la-Prairie","52011",304.603346303502
"Anneville-sur-Scie","76019",278.398574960012
"Anneyron","26010",275.490384088543
"Annezay","17012",273.844889928746
"Annezin","62035",212.140588971605
"Annœullin","59011",225.026729420123
"Annoire","39011",277.673374295955
"Annois","02019",297.54101093625
"Annoisin-Chatelans","38010",356.397788233884
"Annoix","18006",281.574999176738
"Annonay","07010",290.483378375824
"Annonville","52012",344.764181994192
"Annot","04008",480.174496644295
"Annouville-Vilmesnil","76021",264.889728405146
"Annoux","89012",389.730222482964
"Annoville","50015",301.621157323689
"Anor","59012",397.359384836766
"Anos","64027",305.882564679415
"Anost","71009",416.699220919469
"Anould","88009",384.211004839262
"Anoux","54018",295.741935483871
"Anoye","64028",371.196003105971
"Anquetierville","76022",262.650589701793
"Anrosey","52013",394.354327596738
"Ansac-sur-Vienne","16016",325.753917360501
"Ansacq","60016",339.422775428761
"Ansan","32002",322.687561265026
"Ansauville","54019",382.391490098724
"Ansauvillers","60017",250.978221620402
"Anse","69009",287.27472010045
"Ansignan","66006",447.981496339384
"Ansost","65013",284.935860058309
"Ansouis","84002",346.884127887132
"Anstaing","59013",227.656357388316
"Antagnac","47010",406.841055065513
"Anterrieux","15007",368.72220737898
"Anteuil","25018",407.570296079308
"Antezant-la-Chapelle","17013",267.436797361828
"Anthé","47011",365.461958057769
"Anthelupt","54020",340.393029463094
"Anthenay","51012",276.781856667675
"Antheny","08015",260.871204064752
"Antheuil","21014",466.350231851303
"Antheuil-Portes","60019",251.919237614951
"Anthien","58008",323.844007403039
"Anthon","38011",320.941007512152
"Anthy-sur-Léman","74013",274.444972706462
"Antibes","06004",216.31214783399
"Antichan","65014",362.791049798116
"Antichan-de-Frontignes","31009",494.527810977292
"Antignac","15008",410.09413053764
"Antignac","31010",532.25595567867
"Antigny","85005",256.398209329394
"Antigny","86006",325.190148457769
"Antigny-la-Ville","21015",298.852778572109
"Antilly","57024",275.132628221271
"Antilly","60020",314.263377650808
"Antin","65015",335.084143763214
